Num	GeneID	condition1-reversecomp	condition1	condition2-reversecomp	condition2	condition3-reversecomp	condition3	condition1-reversecomp(Normalized)	condition1(Normalized)	condition2-reversecomp(Normalized)	condition2(Normalized)	condition3-reversecomp(Normalized)	condition3(Normalized)	Start	Stop	Order	Strand	Length	PID	Gene	Function
1	SM_b21652	0	0	0	0	0	0	0	0	0	0	0	0	1	1275	SMb0001	+	1275	16263749	lacE	lactose ABC transporter substrate-binding protein
2	SM_b21653	0	0	0	0	0	0	0	0	0	0	0	0	1369	2265	SMb0002	+	897	16263750	lacF	lactose ABC transporter permease
3	SM_b21654	0	0	0	0	0	0	0	0	0	0	0	0	2262	3080	SMb0003	+	819	16263751	lacG	lactose ABC transporter permease
4	SM_b21655	0	0	0	0	0	0	0	0	0	0	0	0	3086	5353	SMb0004	+	2268	16263752	lacZ1	beta-galactosidase
5	SM_b20002	0	0	0	0	0	0	0	0	0	0	0	0	5350	6426	SMb0005	+	1077	16263753	lacK1	sugar ABC transporter ATP-binding protein
6	SM_b20003	0	0	0	0	0	0	0	0	0	0	0	0	6485	7261	SMb0006	+	777	16263754	-	pyrroline-5-carboxylate reductase
7	SM_b20004	0	0	0	0	0	0	0	0	0	0	0	0	7268	8173	SMb0007	-	906	16263755	gstR	gstR-like transcriptional regulator protein
8	SM_b20005	0	0	0	0	0	0	0	0	0	0	0	0	8289	8900	SMb0008	+	612	16263756	gst15	glutathione S-transferase
9	SM_b20006	0	0	0	0	0	0	0	0	0	0	0	0	9086	10039	SMb0009	+	954	16263757	-	hypothetical protein
10	SM_b20007	0	0	0	0	0	0	0	0	0	0	0	0	10154	12271	SMb0010	+	2118	16263758	catC	catalase C protein
11	SM_b20008	0	0	0	0	0	0	0	0	0	0	0	0	12297	13364	SMb0011	+	1068	16263759	ligC	ATP-dependent DNA ligase
12	SM_b20009	0	0	0	0	0	0	0	0	0	0	0	0	13351	14280	SMb0012	-	930	16263760	-	transcriptional regulator
13	SM_b20010	0	0	0	0	0	0	0	0	0	0	0	0	14375	15442	SMb0013	+	1068	16263761	-	hypothetical protein
14	SM_b20011	0	0	0	0	0	0	0	0	0	0	0	0	15669	16448	SMb0014	+	780	16263762	-	hypothetical protein
15	SM_b20012	0	0	0	0	0	0	0	0	0	0	0	0	16480	19023	SMb0015	-	2544	16263763	-	hypothetical protein
16	SM_b20013	0	0	0	0	0	0	0	0	0	0	0	0	19079	20323	SMb0016	-	1245	16263764	-	hypothetical protein
17	SM_b20014	0	0	0	0	0	0	0	0	0	0	0	0	20377	21378	SMb0017	-	1002	16263765	-	transcriptional regulator
18	SM_b20015	0	0	0	0	0	0	0	0	0	0	0	0	21392	22348	SMb0018	-	957	16263766	-	sugar ABC transporter permease
19	SM_b20016	0	0	0	0	0	0	0	0	0	0	0	0	22345	23337	SMb0019	-	993	16263767	-	sugar ABC transporter permease
20	SM_b20017	0	0	0	0	0	0	0	0	0	0	0	0	23337	24842	SMb0020	-	1506	16263768	-	sugar ABC transporter ATP-binding protein
21	SM_b20018	0	0	0	0	0	0	0	0	0	0	0	0	25092	26114	SMb0021	-	1023	16263769	-	sugar ABC transporter substrate-binding protein
22	SM_b20019	0	0	0	0	0	0	0	0	0	0	0	0	26206	27342	SMb0022	-	1137	16263770	sucB	dihydrolipoamide succinyltransferase
23	SM_b20020	0	0	0	0	0	0	0	0	0	0	0	0	27345	29423	SMb0023	-	2079	16263771	pdh	pyruvate dehydrogenase E1 component, subunits alpha and beta
24	SM_b20021	0	0	0	0	0	0	0	0	0	0	0	0	29540	30010	SMb0024	+	471	16263772	-	transcriptional regulator
25	SM_b20022	0	0	0	0	0	0	0	0	0	0	0	0	30658	31224	SMb0025	+	567	16263773	-	hypothetical protein
26	SM_b20023	0	0	0	0	1	0	0	0	0	0	1	0	31301	34918	SMb0026	-	3618	16263774	-	hypothetical protein
	SM_b20023	0	0	0	0	1	0	0	0	0	0	1	0	32793			-
27	SM_b20024	0	0	0	0	0	0	0	0	0	0	0	0	34935	35897	SMb0027	+	963	16263775	-	ribosomal large subunit pseudouridine synthase B
28	SM_b20025	0	0	0	0	0	0	0	0	0	0	0	0	36147	37124	SMb0028	+	978	16263776	-	hypothetical protein
29	SM_b20026	0	0	0	0	0	0	0	0	0	0	0	0	37331	37792	SMb0029	+	462	16263777	-	hypothetical protein
30	SM_b20027	0	0	0	0	0	0	0	0	0	0	0	0	37805	39310	SMb0030	+	1506	16263778	-	hypothetical protein
31	SM_b20028	0	0	0	0	0	0	0	0	0	0	0	0	39374	40510	SMb0031	-	1137	16263779	-	hypothetical protein
32	SM_b20029	0	0	0	0	0	0	0	0	0	0	0	0	40950	41423	SMb0032	+	474	16263780	-	hypothetical protein
33	SM_b20030	0	0	0	0	0	0	0	0	0	0	0	0	41423	42280	SMb0033	+	858	16263781	sig	RNA polymerase sigma factor SigJ
34	SM_b20031	0	0	0	0	0	0	0	0	0	0	0	0	42306	42554	SMb0034	-	249	16263782	-	hypothetical protein
35	SM_b20032	0	0	0	0	0	0	0	0	0	0	0	0	42651	43385	SMb0035	-	735	16263783	-	hypothetical protein
36	SM_b20033	0	0	0	0	0	0	0	0	0	0	0	0	43775	44437	SMb0036	-	663	16263784	-	transcriptional regulator
37	SM_b20034	0	0	0	0	0	0	0	0	0	0	0	0	44734	45297	SMb0037	+	564	16263785	-	ABC transporter
38	SM_b20035	0	0	0	0	0	0	0	0	0	0	0	0	45308	46588	SMb0038	+	1281	16263786	-	ABC transporter permease
39	SM_b20036	0	0	0	0	0	0	0	0	0	0	0	0	46649	47665	SMb0039	+	1017	16263787	-	ABC transporter substrate-binding protein
40	SM_b20037	0	0	0	0	0	0	0	0	0	0	0	0	47745	48605	SMb0040	+	861	16263788	aroE	shikimate 5-dehydrogenase
41	SM_b20038	0	0	0	0	0	0	0	0	0	0	0	0	48822	49049	SMb0041	+	228	16263789	-	hypothetical protein
42	SM_b20039	1	0	0	0	0	0	1	0	0	0	0	0	49146	50570	SMb0042	-	1425	16263790	-	transcriptional regulator
	SM_b20039	1	0	0	0	0	0	1	0	0	0	0	0	49392			+
43	SM_b20040	0	0	0	0	0	0	0	0	0	0	0	0	50652	51512	SMb0043	+	861	16263791	-	hypothetical protein
44	SM_b20041	0	0	0	0	0	0	0	0	0	0	0	0	51703	52233	SMb0044	+	531	16263792	-	hypothetical protein
45	SM_b20042	0	0	0	0	0	0	0	0	0	0	0	0	52256	53413	SMb0045	-	1158	16263793	-	hypothetical protein
46	SM_b20043	0	0	0	0	1	0	0	0	0	0	1	0	53787	54629	SMb0046	+	843	16263794	-	hypothetical protein
	SM_b20043	0	0	0	0	1	0	0	0	0	0	1	0	54025			-
47	SM_b20044	0	0	0	0	0	0	0	0	0	0	0	0	55090	56400	SMb0047	-	1311	16263795	repC1	replication initiation protein RepC
48	SM_b20045	0	0	0	0	0	0	0	0	0	0	0	0	56556	57560	SMb0048	-	1005	16263796	repB1	replication protein B
49	SM_b20046	0	0	0	0	0	0	0	0	0	0	0	0	57564	58760	SMb0049	-	1197	16263797	repA1	replication protein A
50	SM_b20047	0	0	0	0	0	0	0	0	0	0	0	0	59127	59315	SMb0050	+	189	16263798	-	hypothetical protein
51	SM_b20048	0	0	0	0	0	0	0	0	0	0	0	0	59484	60191	SMb0051	+	708	16263799	-	transcriptional regulator
52	SM_b20049	0	0	0	0	0	0	0	0	0	0	0	0	60310	62271	SMb0052	+	1962	16263800	fusA2	elongation factor G
53	SM_b20050	0	0	0	0	0	0	0	0	0	0	0	0	62415	62924	SMb0053	-	510	16263801	-	hypothetical protein
54	SM_b20054	0	0	0	0	0	0	0	0	0	0	0	0	63020	63847	SMb0054	-	828	16263802	cpo	non-heme chloroperoxidase
55	SM_b20055	0	0	0	0	0	0	0	0	0	0	0	0	63995	64984	SMb0055	+	990	16263803	-	transcriptional regulator
56	SM_b20056	0	0	0	0	0	0	0	0	0	0	0	0	66644	67711	SMb0056	+	1068	16263804	-	ABC transporter substrate-binding protein
57	SM_b20057	0	0	0	0	0	0	0	0	0	0	0	0	67708	68751	SMb0057	+	1044	16263805	-	ABC transporter permease
58	SM_b20058	0	0	0	0	0	0	0	0	0	0	0	0	68748	69548	SMb0058	+	801	16263806	-	ABC transporter ATP-binding protein
59	SM_b20059	0	0	0	0	0	0	0	0	0	0	0	0	69552	70331	SMb0059	+	780	16263807	-	SAM-dependent methyltransferase
60	SM_b20060	0	0	0	0	0	0	0	0	0	0	0	0	70423	71619	SMb0060	+	1197	16263808	TRm5	ISRm5 transposase
61	SM_b22003	0	0	0	0	0	0	0	0	0	0	0	0	71778	72098	SMb0061	-	321	195970076	-	hypothetical protein
62	SM_b20061	0	0	0	0	0	0	0	0	0	0	0	0	72259	72414	SMb0062	+	156	16263809	-	hypothetical protein
63	SM_b20062	0	0	0	0	0	0	0	0	0	0	0	0	72518	72766	SMb0063	+	249	16263810	-	hypothetical protein
64	SM_b20063	0	0	0	0	0	0	0	0	0	0	0	0	72756	73052	SMb0064	+	297	16263811	-	hypothetical protein
65	SM_b20064	0	0	0	0	0	0	0	0	0	0	0	0	72974	73420	SMb0065	-	447	16263812	-	hypothetical protein
66	SM_b20065	0	0	0	0	0	0	0	0	0	0	0	0	73972	74370	SMb0066	+	399	16263813	-	hypothetical protein
67	SM_b20066	0	0	0	0	0	0	0	0	0	0	0	0	74537	74722	SMb0067	+	186	16263814	-	hypothetical protein
68	SM_b20067	0	0	0	0	0	0	0	0	0	0	0	0	74726	75247	SMb0068	-	522	16263815	-	hypothetical protein
69	SM_b20068	0	0	0	0	0	0	0	0	0	0	0	0	75462	75671	SMb0069	+	210	16263816	-	hypothetical protein
70	SM_b20069	0	0	0	0	0	0	0	0	0	0	0	0	76205	77608	SMb0070	+	1404	16263817	-	amino acid carrier protein
71	SM_b20070	0	0	0	0	0	0	0	0	0	0	0	0	77869	79356	SMb0071	-	1488	16263818	-	sulfate permease
72	SM_b20071	0	0	0	0	0	0	0	0	0	0	0	0	79574	80767	SMb0072	-	1194	16263819	-	efflux protein
73	SM_b20072	0	0	0	0	0	0	0	0	0	0	0	0	81239	82168	SMb0073	-	930	16263820	-	rhizopine binding protein
74	SM_b20073	0	0	0	0	0	0	0	0	0	0	0	0	82331	83188	SMb0074	-	858	16263821	-	oxidoreductase
75	SM_b20074	0	0	0	0	0	0	0	0	0	0	0	0	83384	83626	SMb0075	+	243	16263822	-	hypothetical protein
76	SM_b20075	0	0	0	0	0	0	0	0	0	0	0	0	83675	83866	SMb0076	+	192	16263823	-	hypothetical protein
77	SM_b20076	0	0	0	0	0	0	0	0	0	0	0	0	83965	84981	SMb0077	+	1017	16263824	-	short-chain dehydrogenase
78	SM_b20077	0	0	0	0	0	0	0	0	0	0	0	0	85081	86745	SMb0078	+	1665	16263825	-	sensor histidine kinase
79	SM_b20078	0	0	0	0	0	0	0	0	0	0	0	0	86745	87380	SMb0079	+	636	16263826	-	response regulator
80	SM_b20079	0	0	0	0	0	0	0	0	0	0	0	0	88213	91431	SMb0080	+	3219	16263827	-	hemolysin-adenlyate cyclase
81	SM_b20080	0	0	0	0	0	0	0	0	0	0	0	0	91546	92715	SMb0081	+	1170	195970069	-	alcohol dehydrogenase
82	SM_b20081	0	0	0	0	0	0	0	0	0	0	0	0	92735	93445	SMb0082	-	711	16263829	-	hypothetical protein
83	SM_b20082	0	0	0	0	0	0	0	0	0	0	0	0	93442	94260	SMb0083	-	819	16263830	-	hypothetical protein
84	SM_b20083	0	0	0	0	0	0	0	0	0	0	0	0	94552	94791	SMb0084	+	240	16263831	-	hypothetical protein
85	SM_b20084	0	0	0	0	0	0	0	0	0	0	0	0	94903	95076	SMb0085	-	174	16263832	-	hypothetical protein
86	SM_b20085	0	0	0	0	0	0	0	0	0	0	0	0	95128	95274	SMb0086	-	147	16263833	-	hypothetical protein
87	SM_b20086	0	0	0	0	0	0	0	0	0	0	0	0	95472	95774	SMb0087	+	303	16263834	-	hypothetical protein
88	SM_b20087	0	0	0	0	0	0	0	0	0	0	0	0	95797	96402	SMb0088	+	606	16263835	-	hypothetical protein
89	SM_b20088	0	0	0	0	0	0	0	0	0	0	0	0	96557	98533	SMb0089	+	1977	16263836	-	hypothetical protein
90	SM_b20089	0	0	0	0	0	0	0	0	0	0	0	0	98552	98875	SMb0090	-	324	16263837	-	hypothetical protein
91	SM_b20090	0	0	0	0	0	0	0	0	0	0	0	0	98879	99070	SMb0091	-	192	16263838	-	hypothetical protein
92	SM_b20091	0	0	0	0	0	0	0	0	0	0	0	0	99186	99692	SMb0092	+	507	16263839	-	hypothetical protein
93	SM_b20092	0	0	0	0	0	0	0	0	0	0	0	0	99778	100536	SMb0093	-	759	16263840	-	hypothetical protein
94	SM_b20093	0	0	0	0	0	0	0	0	0	0	0	0	100574	101515	SMb0094	+	942	16263841	-	hypothetical protein
95	SM_b20094	0	0	0	0	0	0	0	0	0	0	0	0	101410	103182	SMb0095	-	1773	16263842	-	phospholipase
96	SM_b20095	0	0	0	0	0	0	0	0	0	0	0	0	103207	105024	SMb0096	+	1818	16263843	-	pyruvate oxidase
97	SM_b20096	0	0	0	0	0	0	0	0	0	0	0	0	105053	105493	SMb0097	+	441	16263844	-	hypothetical protein
98	SM_b20097	0	0	0	0	0	0	0	0	0	0	0	0	105495	106724	SMb0098	+	1230	16263845	-	oxidoreductase
99	SM_b20098	0	0	0	0	0	0	0	0	0	0	0	0	106733	107128	SMb0099	+	396	16263846	-	hypothetical protein
100	SM_b20099	0	0	0	0	0	0	0	0	0	0	0	0	107125	108759	SMb0100	+	1635	16263847	-	maltose alpha-D-glucosyltransferase
101	SM_b20100	0	0	0	0	0	0	0	0	0	0	0	0	108761	109747	SMb0101	+	987	16263848	-	dehydrogenase
102	SM_b20101	0	0	0	0	0	0	0	0	0	0	0	0	109808	111088	SMb0102	+	1281	16263849	-	hydroxyglutarate oxidase
103	SM_b20102	0	0	0	0	0	0	0	0	0	0	0	0	111176	113059	SMb0103	+	1884	16263850	acoR	acetoin catabolism regulatory protein
104	SM_b20103	0	0	0	0	0	0	0	0	0	0	0	0	113274	115076	SMb0104	+	1803	16263851	-	FAD-dependent oxidoreductase
105	SM_b20104	0	0	0	0	0	0	0	0	0	0	0	0	115152	115910	SMb0105	-	759	16263852	-	hypothetical protein
106	SM_b20105	0	0	0	0	0	0	0	0	0	0	0	0	116012	116644	SMb0106	-	633	16263853	-	transcriptional regulator
107	SM_b20106	0	0	0	0	0	0	0	0	0	0	0	0	116824	117555	SMb0107	+	732	16263854	-	transcriptional regulator
108	SM_b20107	0	0	0	0	0	0	0	0	0	0	0	0	117623	118579	SMb0108	+	957	16263855	-	hypothetical protein
109	SM_b20108	0	0	0	0	0	0	0	0	0	0	0	0	118703	120211	SMb0109	+	1509	16263856	-	peptide ABC transporter substrate-binding protein
110	SM_b20109	0	0	0	0	0	0	0	0	0	0	0	0	120284	121207	SMb0110	+	924	16263857	-	peptide ABC transporter permease
111	SM_b20110	0	0	0	0	0	0	0	0	0	0	0	0	121204	122151	SMb0111	+	948	16263858	-	oligopeptide ABC transporter permease
112	SM_b20111	0	0	0	0	0	0	0	0	0	0	0	0	122148	123788	SMb0112	+	1641	16263859	-	oligopeptide ABC transporter ATP-binding protein
113	SM_b20112	0	0	0	0	0	0	0	0	0	0	0	0	123785	124672	SMb0113	+	888	16263860	-	hypothetical protein
