Num	GeneID	condition2	condition3	condition1	condition2(Normalized)	condition3(Normalized)	condition1(Normalized)	Start	Stop	Order	Strand	Length	PID	Gene	Function
1	SM_b21652	0	0	0	0	0	0	1	1275	SMb0001	+	424	16263749	lacE	lactoseABCtransportersubstrate-bindingprotein
2	SM_b21653	0	0	0	0	0	0	1369	2265	SMb0002	+	298	16263750	lacF	lactoseABCtransporterpermease
3	SM_b21654	0	0	0	0	0	0	2262	3080	SMb0003	+	272	16263751	lacG	lactoseABCtransporterpermease
4	SM_b21655	0	0	0	0	0	0	3086	5353	SMb0004	+	755	16263752	lacZ1	beta-galactosidase
5	SM_b20002	0	0	0	0	0	0	5350	6426	SMb0005	+	358	16263753	lacK1	sugarABCtransporterATP-bindingprotein
6	SM_b20003	0	0	0	0	0	0	6485	7261	SMb0006	+	258	16263754	-	pyrroline-5-carboxylatereductase
7	SM_b20004	0	0	0	0	0	0	7268	8173	SMb0007	-	301	16263755	gstR	gstR-liketranscriptionalregulatorprotein
8	SM_b20005	0	0	0	0	0	0	8289	8900	SMb0008	+	203	16263756	gst15	glutathioneS-transferase
9	SM_b20006	0	0	0	0	0	0	9086	10039	SMb0009	+	317	16263757	-	hypotheticalprotein
10	SM_b20007	0	0	0	0	0	0	10154	12271	SMb0010	+	705	16263758	catC	catalaseCprotein
11	SM_b20008	0	0	0	0	0	0	12297	13364	SMb0011	+	355	16263759	ligC	ATP-dependentDNAligase
12	SM_b20009	0	0	0	0	0	0	13351	14280	SMb0012	-	309	16263760	-	transcriptionalregulator
13	SM_b20010	0	0	0	0	0	0	14375	15442	SMb0013	+	355	16263761	-	hypotheticalprotein
14	SM_b20011	0	0	0	0	0	0	15669	16448	SMb0014	+	259	16263762	-	hypotheticalprotein
15	SM_b20012	0	0	0	0	0	0	16480	19023	SMb0015	-	847	16263763	-	hypotheticalprotein
16	SM_b20013	0	0	0	0	0	0	19079	20323	SMb0016	-	414	16263764	-	hypotheticalprotein
17	SM_b20014	0	0	0	0	0	0	20377	21378	SMb0017	-	333	16263765	-	transcriptionalregulator
18	SM_b20015	0	0	0	0	0	0	21392	22348	SMb0018	-	318	16263766	-	sugarABCtransporterpermease
19	SM_b20016	0	0	0	0	0	0	22345	23337	SMb0019	-	330	16263767	-	sugarABCtransporterpermease
20	SM_b20017	0	0	0	0	0	0	23337	24842	SMb0020	-	501	16263768	-	sugarABCtransporterATP-bindingprotein
21	SM_b20018	0	0	0	0	0	0	25092	26114	SMb0021	-	340	16263769	-	sugarABCtransportersubstrate-bindingprotein
22	SM_b20019	0	0	0	0	0	0	26206	27342	SMb0022	-	378	16263770	sucB	dihydrolipoamidesuccinyltransferase
23	SM_b20020	0	0	0	0	0	0	27345	29423	SMb0023	-	692	16263771	pdh	pyruvatedehydrogenaseE1component,subunitsalphaandbeta
