Num	GeneID	condition2	condition3	condition1	condition2(Normalized)	condition3(Normalized)	condition1(Normalized)	Start	Stop	Order	Strand	Length	PID	Gene	Function
2	int_SM_b21652-SM_b21653	0	0	0	0	0	0	1276	1368	na	na	93	na	na	na
4	int_SM_b21654-SM_b21655	0	0	0	0	0	0	3081	3085	na	na	5	na	na	na
6	int_SM_b20002-SM_b20003	0	0	0	0	0	0	6427	6484	na	na	58	na	na	na
7	int_SM_b20003-SM_b20004	0	0	0	0	0	0	7262	7267	na	na	6	na	na	na
8	int_SM_b20004-SM_b20005	0	0	0	0	0	0	8174	8288	na	na	115	na	na	na
9	int_SM_b20005-SM_b20006	0	0	0	0	0	0	8901	9085	na	na	185	na	na	na
10	int_SM_b20006-SM_b20007	0	0	0	0	0	0	10040	10153	na	na	114	na	na	na
11	int_SM_b20007-SM_b20008	0	0	0	0	0	0	12272	12296	na	na	25	na	na	na
13	int_SM_b20009-SM_b20010	0	0	0	0	0	0	14281	14374	na	na	94	na	na	na
14	int_SM_b20010-SM_b20011	0	0	0	0	0	0	15443	15668	na	na	226	na	na	na
15	int_SM_b20011-SM_b20012	0	0	0	0	0	0	16449	16479	na	na	31	na	na	na
16	int_SM_b20012-SM_b20013	0	0	0	0	0	0	19024	19078	na	na	55	na	na	na
17	int_SM_b20013-SM_b20014	0	0	0	0	0	0	20324	20376	na	na	53	na	na	na
18	int_SM_b20014-SM_b20015	0	0	0	0	0	0	21379	21391	na	na	13	na	na	na
21	int_SM_b20017-SM_b20018	0	0	0	0	0	0	24843	25091	na	na	249	na	na	na
22	int_SM_b20018-SM_b20019	0	0	0	0	0	0	26115	26205	na	na	91	na	na	na
23	int_SM_b20019-SM_b20020	0	0	0	0	0	0	27343	27344	na	na	2	na	na	na
24	int_SM_b20020-SM_b20021	0	0	0	0	0	0	29424	29539	na	na	116	na	na	na
25	int_SM_b20021-SM_b20022	0	0	0	0	0	0	30011	30657	na	na	647	na	na	na
26	int_SM_b20022-SM_b20023	0	0	0	0	0	0	31225	31300	na	na	76	na	na	na
27	int_SM_b20023-SM_b20024	0	0	0	0	0	0	34919	34934	na	na	16	na	na	na
28	int_SM_b20024-SM_b20025	0	0	0	0	0	0	35898	36146	na	na	249	na	na	na
29	int_SM_b20025-SM_b20026	0	0	0	0	0	0	37125	37330	na	na	206	na	na	na
30	int_SM_b20026-SM_b20027	0	0	0	0	0	0	37793	37804	na	na	12	na	na	na
31	int_SM_b20027-SM_b20028	0	0	0	0	0	0	39311	39373	na	na	63	na	na	na
32	int_SM_b20028-SM_b20029	0	0	0	0	0	0	40511	40949	na	na	439	na	na	na
34	int_SM_b20030-SM_b20031	0	0	0	0	0	0	42281	42305	na	na	25	na	na	na
35	int_SM_b20031-SM_b20032	0	0	0	0	0	0	42555	42650	na	na	96	na	na	na
36	int_SM_b20032-SM_b20033	0	0	0	0	0	0	43386	43774	na	na	389	na	na	na
37	int_SM_b20033-SM_b20034	0	0	0	0	0	0	44438	44733	na	na	296	na	na	na
38	int_SM_b20034-SM_b20035	0	0	0	0	0	0	45298	45307	na	na	10	na	na	na
39	int_SM_b20035-SM_b20036	0	0	0	0	0	0	46589	46648	na	na	60	na	na	na
40	int_SM_b20036-SM_b20037	0	0	0	0	0	0	47666	47744	na	na	79	na	na	na
41	int_SM_b20037-SM_b20038	0	0	0	0	0	0	48606	48821	na	na	216	na	na	na
42	int_SM_b20038-SM_b20039	0	0	0	0	0	0	49050	49145	na	na	96	na	na	na
43	int_SM_b20039-SM_b20040	0	0	0	0	0	0	50571	50651	na	na	81	na	na	na
44	int_SM_b20040-SM_b20041	0	0	0	0	0	0	51513	51702	na	na	190	na	na	na
45	int_SM_b20041-SM_b20042	0	0	0	0	0	0	52234	52255	na	na	22	na	na	na
46	int_SM_b20042-SM_b20043	0	0	0	0	0	0	53414	53786	na	na	373	na	na	na
47	int_SM_b20043-SM_b20044	0	0	0	0	0	0	54630	55089	na	na	460	na	na	na
48	int_SM_b20044-SM_b20045	0	0	0	0	0	0	56401	56555	na	na	155	na	na	na
49	int_SM_b20045-SM_b20046	0	0	0	0	0	0	57561	57563	na	na	3	na	na	na
50	int_SM_b20046-SM_b20047	0	0	0	0	0	0	58761	59126	na	na	366	na	na	na
51	int_SM_b20047-SM_b20048	0	0	0	0	0	0	59316	59483	na	na	168	na	na	na
52	int_SM_b20048-SM_b20049	0	0	0	0	0	0	60192	60309	na	na	118	na	na	na
53	int_SM_b20049-SM_b20050	0	0	0	0	0	0	62272	62414	na	na	143	na	na	na
54	int_SM_b20050-SM_b20054	0	0	0	0	0	0	62925	63019	na	na	95	na	na	na
55	int_SM_b20054-SM_b20055	0	0	0	0	0	0	63848	63994	na	na	147	na	na	na
56	int_SM_b20055-SM_b20056	0	0	0	0	0	0	64985	66643	na	na	1659	na	na	na
59	int_SM_b20058-SM_b20059	0	0	0	0	0	0	69549	69551	na	na	3	na	na	na
60	int_SM_b20059-SM_b20060	0	0	0	0	0	0	70332	70422	na	na	91	na	na	na
61	int_SM_b20060-SM_b22003	0	0	0	0	0	0	71620	71777	na	na	158	na	na	na
62	int_SM_b22003-SM_b20061	0	0	0	0	0	0	72099	72258	na	na	160	na	na	na
63	int_SM_b20061-SM_b20062	0	0	0	0	0	0	72415	72517	na	na	103	na	na	na
66	int_SM_b20064-SM_b20065	0	0	0	0	0	0	73421	73971	na	na	551	na	na	na
67	int_SM_b20065-SM_b20066	0	0	0	0	0	0	74371	74536	na	na	166	na	na	na
68	int_SM_b20066-SM_b20067	0	0	0	0	0	0	74723	74725	na	na	3	na	na	na
69	int_SM_b20067-SM_b20068	0	0	0	0	0	0	75248	75461	na	na	214	na	na	na
70	int_SM_b20068-SM_b20069	0	0	0	0	0	0	75672	76204	na	na	533	na	na	na
71	int_SM_b20069-SM_b20070	0	0	0	0	0	0	77609	77868	na	na	260	na	na	na
72	int_SM_b20070-SM_b20071	0	0	0	0	0	0	79357	79573	na	na	217	na	na	na
73	int_SM_b20071-SM_b20072	0	0	0	0	0	0	80768	81238	na	na	471	na	na	na
74	int_SM_b20072-SM_b20073	0	0	0	0	0	0	82169	82330	na	na	162	na	na	na
75	int_SM_b20073-SM_b20074	0	0	0	0	0	0	83189	83383	na	na	195	na	na	na
76	int_SM_b20074-SM_b20075	0	0	0	0	0	0	83627	83674	na	na	48	na	na	na
77	int_SM_b20075-SM_b20076	0	0	0	0	0	0	83867	83964	na	na	98	na	na	na
78	int_SM_b20076-SM_b20077	0	0	0	0	0	0	84982	85080	na	na	99	na	na	na
80	int_SM_b20078-SM_b20079	0	0	0	0	0	0	87381	88212	na	na	832	na	na	na
81	int_SM_b20079-SM_b20080	0	0	0	0	0	0	91432	91545	na	na	114	na	na	na
82	int_SM_b20080-SM_b20081	0	0	0	0	0	0	92716	92734	na	na	19	na	na	na
84	int_SM_b20082-SM_b20083	0	0	0	0	0	0	94261	94551	na	na	291	na	na	na
85	int_SM_b20083-SM_b20084	0	0	0	0	0	0	94792	94902	na	na	111	na	na	na
86	int_SM_b20084-SM_b20085	0	0	0	0	0	0	95077	95127	na	na	51	na	na	na
87	int_SM_b20085-SM_b20086	0	0	0	0	0	0	95275	95471	na	na	197	na	na	na
88	int_SM_b20086-SM_b20087	0	0	0	0	0	0	95775	95796	na	na	22	na	na	na
89	int_SM_b20087-SM_b20088	0	0	0	0	0	0	96403	96556	na	na	154	na	na	na
90	int_SM_b20088-SM_b20089	0	0	0	0	0	0	98534	98551	na	na	18	na	na	na
91	int_SM_b20089-SM_b20090	0	0	0	0	0	0	98876	98878	na	na	3	na	na	na
92	int_SM_b20090-SM_b20091	0	0	0	0	0	0	99071	99185	na	na	115	na	na	na
93	int_SM_b20091-SM_b20092	0	0	0	0	0	0	99693	99777	na	na	85	na	na	na
94	int_SM_b20092-SM_b20093	0	0	0	0	0	0	100537	100573	na	na	37	na	na	na
96	int_SM_b20094-SM_b20095	0	0	0	0	0	0	103183	103206	na	na	24	na	na	na
97	int_SM_b20095-SM_b20096	0	0	0	0	0	0	105025	105052	na	na	28	na	na	na
98	int_SM_b20096-SM_b20097	0	0	0	0	0	0	105494	105494	na	na	1	na	na	na
99	int_SM_b20097-SM_b20098	0	0	0	0	0	0	106725	106732	na	na	8	na	na	na
101	int_SM_b20099-SM_b20100	0	0	0	0	0	0	108760	108760	na	na	1	na	na	na
102	int_SM_b20100-SM_b20101	0	0	0	0	0	0	109748	109807	na	na	60	na	na	na
103	int_SM_b20101-SM_b20102	0	0	0	0	0	0	111089	111175	na	na	87	na	na	na
104	int_SM_b20102-SM_b20103	0	0	0	0	0	0	113060	113273	na	na	214	na	na	na
105	int_SM_b20103-SM_b20104	0	0	0	0	0	0	115077	115151	na	na	75	na	na	na
106	int_SM_b20104-SM_b20105	0	0	0	0	0	0	115911	116011	na	na	101	na	na	na
107	int_SM_b20105-SM_b20106	0	0	0	0	0	0	116645	116823	na	na	179	na	na	na
108	int_SM_b20106-SM_b20107	0	0	0	0	0	0	117556	117622	na	na	67	na	na	na
109	int_SM_b20107-SM_b20108	0	0	0	0	0	0	118580	118702	na	na	123	na	na	na
110	int_SM_b20108-SM_b20109	0	0	0	0	0	0	120212	120283	na	na	72	na	na	na
114	int_SM_b20112-SM_b20113	0	0	0	0	0	0	124673	124708	na	na	36	na	na	na
115	int_SM_b20113-SM_b20114	0	0	0	0	0	0	125642	125643	na	na	2	na	na	na
116	int_SM_b20114-SM_b20115	0	0	0	0	0	0	126370	126395	na	na	26	na	na	na
117	int_SM_b20115-SM_b20116	0	0	0	0	0	0	128118	128251	na	na	134	na	na	na
118	int_SM_b20116-SM_b20117	0	0	0	0	0	0	130457	130585	na	na	129	na	na	na
119	int_SM_b20117-SM_b20118	0	0	0	0	0	0	131687	132166	na	na	480	na	na	na
120	int_SM_b20118-SM_b20119	0	0	0	0	0	0	132587	132608	na	na	22	na	na	na
123	int_SM_b20121-SM_b20122	0	0	0	0	0	0	133559	133739	na	na	181	na	na	na
124	int_SM_b20122-SM_b20123	0	0	0	0	0	0	134076	134260	na	na	185	na	na	na
125	int_SM_b20123-SM_b20124	0	0	0	0	0	0	135158	135278	na	na	121	na	na	na
126	int_SM_b20124-SM_b20125	0	0	0	0	0	0	136806	136814	na	na	9	na	na	na
127	int_SM_b20125-SM_b20126	0	0	0	0	0	0	137748	137755	na	na	8	na	na	na
128	int_SM_b20126-SM_b20127	0	0	0	0	0	0	138854	139005	na	na	152	na	na	na
129	int_SM_b20127-SM_b20128	0	0	0	0	0	0	139987	140041	na	na	55	na	na	na
130	int_SM_b20128-SM_b20129	0	0	0	0	0	0	141356	141804	na	na	449	na	na	na
131	int_SM_b20129-SM_b20130	0	0	0	0	0	0	142585	142634	na	na	50	na	na	na
135	int_SM_b20133-SM_b20134	0	0	0	0	0	0	147345	147546	na	na	202	na	na	na
136	int_SM_b20134-SM_b20135	0	0	0	0	0	0	148939	149016	na	na	78	na	na	na
137	int_SM_b20135-SM_b20136	0	0	0	0	0	0	149650	149679	na	na	30	na	na	na
138	int_SM_b20136-SM_b20137	0	0	0	0	0	0	151054	151194	na	na	141	na	na	na
139	int_SM_b20137-SM_b20138	0	0	0	0	0	0	152137	152175	na	na	39	na	na	na
140	int_SM_b20138-SM_b20139	0	0	0	0	0	0	153103	153413	na	na	311	na	na	na
141	int_SM_b20139-SM_b20140	0	0	0	0	0	0	153909	153927	na	na	19	na	na	na
144	int_SM_b20142-SM_b20143	0	0	0	0	0	0	157372	157385	na	na	14	na	na	na
145	int_SM_b20143-SM_b20144	0	0	0	0	0	0	158301	158385	na	na	85	na	na	na
146	int_SM_b20144-SM_b20145	0	0	0	0	0	0	159892	160205	na	na	314	na	na	na
149	int_SM_b20147-SM_b20148	0	0	0	0	0	0	163462	163685	na	na	224	na	na	na
150	int_SM_b20148-SM_b20149	0	0	0	0	0	0	164388	164390	na	na	3	na	na	na
151	int_SM_b20149-SM_b20150	0	0	0	0	0	0	165423	165739	na	na	317	na	na	na
152	int_SM_b20150-SM_b20151	0	0	0	0	0	0	166580	166644	na	na	65	na	na	na
154	int_SM_b20152-SM_b20153	0	0	0	0	0	0	168975	169057	na	na	83	na	na	na
155	int_SM_b20153-SM_b20154	0	0	0	0	0	0	170702	170751	na	na	50	na	na	na
156	int_SM_b20154-SM_b20155	0	0	0	0	0	0	171739	172248	na	na	510	na	na	na
158	int_SM_b20156-SM_b20157	0	0	0	0	0	0	175233	175273	na	na	41	na	na	na
159	int_SM_b20157-SM_b20158	0	0	0	0	0	0	176399	176426	na	na	28	na	na	na
160	int_SM_b20158-SM_b20159	0	0	0	0	0	0	177552	177604	na	na	53	na	na	na
161	int_SM_b20159-SM_b22005	0	0	0	0	0	0	178490	179167	na	na	678	na	na	na
163	int_SM_b20161-SM_b20162	0	0	0	0	0	0	179884	180076	na	na	193	na	na	na
164	int_SM_b20162-SM_b20163	0	0	0	0	0	0	180767	180810	na	na	44	na	na	na
166	int_SM_b20164-SM_b20165	0	0	0	0	0	0	184221	184326	na	na	106	na	na	na
168	int_SM_b20166-SM_b20167	0	0	0	0	0	0	185349	185421	na	na	73	na	na	na
169	int_SM_b20167-SM_b20168	0	0	0	0	0	0	186235	186368	na	na	134	na	na	na
170	int_SM_b20168-SM_b20169	0	0	0	0	0	0	187467	187594	na	na	128	na	na	na
171	int_SM_b20169-SM_b20170	0	0	0	0	0	0	188237	188405	na	na	169	na	na	na
173	int_SM_b20171-SM_b20172	0	0	0	0	0	0	190373	190385	na	na	13	na	na	na
174	int_SM_b20172-SM_b20173	0	0	0	0	0	0	190797	190973	na	na	177	na	na	na
175	int_SM_b20173-SM_b20174	0	0	0	0	0	0	192780	192857	na	na	78	na	na	na
178	int_SM_b20176-SM_b20177	0	0	0	0	0	0	194754	194926	na	na	173	na	na	na
